"taxon_name","accepted_wcvp_name","accepted_wcvp_name_binomial"
"Acalypha gracilens A. Gray","Acalypha gracilens A.Gray","Acalypha gracilens"
"Acalypha monococca (Engelm. ex A. Gray) Lill. W. Mill. & Gandhi","Acalypha monococca (Engelm. ex A.Gray) Lill.W.Mill. & Gandhi","Acalypha monococca"
"Acalypha neomexicana Müll. Arg.","Acalypha neomexicana Müll.Arg.","Acalypha neomexicana"
"Acalypha ostryifolia Riddell","Acalypha persimilis Müll.Arg.","Acalypha persimilis"
"Acalypha rhomboidea Raf.","Acalypha rhomboidea Raf.","Acalypha rhomboidea"
"Acalypha sp.","Acalypha sp.","Acalypha sp."
"Acalypha spp.","Acalypha spp.","Acalypha sp."
"Acalypha virginica L.","Acalypha virginica L.","Acalypha virginica"
"Acanthospermum hispidum DC.","Acanthospermum hispidum DC.","Acanthospermum hispidum"
"Acer circinatum Pursh","Acer circinatum Pursh","Acer circinatum"
"Acer glabrum Torr.","Acer glabrum Torr.","Acer glabrum"
"Acer glabrum Torr. var. douglasii (Hook.) Dippel","Acer glabrum var. douglasii (Hook.) Dippel","Acer glabrum"
"Acer grandidentatum Nutt. var. sinuosum (Rehder) Little","Acer grandidentatum var. sinuosum (Rehder) Little","Acer grandidentatum"
"Acer macrophyllum Pursh","Acer macrophyllum Pursh","Acer macrophyllum"
"Acer negundo L.","Acer negundo L.","Acer negundo"
"Acer negundo L. var. negundo","Acer negundo L. var. negundo","Acer negundo"
"Acer palmatum Thunb.","Acer palmatum Thunb.","Acer palmatum"
"Acer pensylvanicum L.","Acer pensylvanicum L.","Acer pensylvanicum"
"Acer platanoides L.","Acer platanoides L.","Acer platanoides"
"Acer rubrum L.","Acer rubrum L.","Acer rubrum"
"Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch","Acer rubrum L.","Acer rubrum"
"Acer rubrum L. var. rubrum","Acer rubrum L.","Acer rubrum"
"Acer saccharinum L.","Acer saccharinum L.","Acer saccharinum"
"Acer saccharum Marshall","Acer saccharum Marshall","Acer saccharum"
"Acer saccharum Marshall var. saccharum","Acer saccharum Marshall var. saccharum","Acer saccharum"
"Acer nigrum Michx. f.","Acer saccharum subsp. nigrum (F.Michx.) Desmarais","Acer saccharum"
"Acer barbatum Michx.","Acer saccharum subsp. floridanum (Chapm.) Desmarais","Acer saccharum"
"Acer leucoderme Small","Acer saccharum subsp. leucoderme (Small) Desmarais","Acer saccharum"
"Acer sp.","Acer sp.","Acer sp."
"Acer spp.","Acer spp.","Acer sp."
"Acer spicatum Lam.","Acer spicatum Lam.","Acer spicatum"
"Acer ×freemanii A.E. Murray","Acer × freemanii A.E.Murray","Acer × freemanii"
"Achillea millefolium L.","Achillea millefolium L.","Achillea millefolium"
"Achillea millefolium L. var. alpicola (Rydb.) Garrett","Achillea millefolium subsp. millefolium","Achillea millefolium"
"Achillea millefolium L. var. borealis (Bong.) Farw.","Achillea millefolium subsp. millefolium","Achillea millefolium"
"Achillea millefolium L. var. occidentalis DC.","Achillea millefolium subsp. millefolium","Achillea millefolium"
"Achillea sp.","Achillea sp.","Achillea sp."
"Achlys triphylla (Sm.) DC.","Achlys triphylla DC.","Achlys triphylla"
"Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii","Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii","Achnatherum nelsonii"
"Achnatherum occidentale (Thurb.) Barkworth ssp. occidentale","Achnatherum occidentale (Thurb.) Barkworth ssp. occidentale","Achnatherum occidentale"
"Achnatherum sp.","Achnatherum sp.","Achnatherum sp."
"Achnatherum spp.","Achnatherum spp.","Achnatherum sp."
"Achyranthes aspera L.","Achyranthes aspera L.","Achyranthes aspera"
"Ammocodon chenopodioides (A. Gray) Standl.","Acleisanthes chenopodioides (A.Gray) R.A.Levin","Acleisanthes chenopodioides"
"Selinocarpus parvifolius (Torr.) Standl.","Acleisanthes parvifolia (Torr.) R.A.Levin","Acleisanthes parvifolia"
"Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen","Acmella repens (Walter) Rich.","Acmella repens"
"Lotus unifoliolatus (Hook.) Benth.","Acmispon americanus var. americanus","Acmispon americanus"
"Lotus argophyllus (A. Gray) Greene","Acmispon argophyllus (A.Gray) Brouillet","Acmispon argophyllus"
"Lotus humistratus Greene","Acmispon brachycarpus (Benth.) D.D.Sokoloff","Acmispon brachycarpus"
"Lotus greenei Ottley ex Kearney & Peebles","Acmispon neomexicanus (Greene) Brouillet","Acmispon neomexicanus"
"Lotus micranthus Benth.","Acmispon parviflorus (Benth.) D.D.Sokoloff","Acmispon parviflorus"
"Lotus plebeius (Brandegee) Barneby","Acmispon plebeius (Brandegee) Allred","Acmispon plebeius"
"Lotus nuttallianus Greene","Acmispon prostratus (Nutt.) Brouillet","Acmispon prostratus"
"Lotus strigosus (Nutt.) Greene","Acmispon strigosus (Nutt.) Brouillet","Acmispon strigosus"
"Lotus wrangelianus Fisch. & C.A. Mey.","Acmispon wrangelianus (Fisch. & C.A.Mey.) Sokoloff","Acmispon wrangelianus"
"Lotus wrightii (A. Gray) Greene","Acmispon wrightii (A.Gray) Brouillet","Acmispon wrightii"
"Aconitum columbianum Nutt.","Aconitum columbianum Nutt.","Aconitum columbianum"
"Aconitum delphiniifolium DC.","Aconitum delphiniifolium DC.","Aconitum delphiniifolium"
"Acorus americanus (Raf.) Raf.","Acorus calamus var. americanus Raf.","Acorus calamus"
"Acourtia nana (A. Gray) Reveal & R.M. King","Acourtia nana (A.Gray) Reveal & R.M.King","Acourtia nana"
"Acourtia runcinata (Lag. ex D. Don) B.L. Turner","Acourtia runcinata (D.Don) B.L.Turner","Acourtia runcinata"
"Acourtia sp.","Acourtia sp.","Acourtia sp."
"Actaea pachypoda Elliott","Actaea pachypoda Elliott","Actaea pachypoda"
"Actaea racemosa L.","Actaea racemosa L.","Actaea racemosa"
"Actaea rubra (Aiton) Willd.","Actaea rubra (Aiton) Willd.","Actaea rubra"
"Actaea sp.","Actaea sp.","Actaea sp."
"Actaea spp.","Actaea spp.","Actaea sp."
"Adelia ricinella L.","Adelia ricinella L.","Adelia ricinella"
"Adenocaulon bicolor Hook.","Adenocaulon bicolor Hook.","Adenocaulon bicolor"
"Adenophorus hymenophylloides (Kaulf.) Hook. & Grev.","Adenophorus hymenophylloides (Kaulf.) Hook. & Grev.","Adenophorus hymenophylloides"
"Adenophorus sp.","Adenophorus sp.","Adenophorus sp."
"Adenophorus tamariscinus (Kaulf.) Hook. & Grev.","Adenophorus tamariscinus (Kaulf.) Hook. & Grev.","Adenophorus tamariscinus"
"Adenophorus tripinnatifidus Gaudich.","Adenophorus tripinnatifidus Gaudich.","Adenophorus tripinnatifidus"
"Adiantum aleuticum (Rupr.) Paris","Adiantum aleuticum (Rupr.) C.A.Paris","Adiantum aleuticum"
"Adiantum capillus-veneris L.","Adiantum capillus-veneris L.","Adiantum capillus-veneris"
"Adiantum pedatum L.","Adiantum pedatum L.","Adiantum pedatum"
"Adoxa moschatellina L.","Adoxa moschatellina L.","Adoxa moschatellina"
"Aegilops cylindrica Host","Aegilops cylindrica Host","Aegilops cylindrica"
"Aeschynomene americana L.","Aeschynomene americana L.","Aeschynomene americana"
"Aeschynomene sensitiva Sw.","Aeschynomene sensitiva Sw.","Aeschynomene sensitiva"
"Aeschynomene sp.","Aeschynomene sp.","Aeschynomene sp."
"Aesculus californica (Spach) Nutt.","Aesculus californica (Spach) Nutt.","Aesculus californica"
"Aesculus flava Aiton","Aesculus flava Sol.","Aesculus flava"
"Aesculus parviflora Walter","Aesculus parviflora Walter","Aesculus parviflora"
"Aesculus pavia L.","Aesculus pavia L.","Aesculus pavia"
"Aesculus pavia L. var. pavia","Aesculus pavia var. pavia","Aesculus pavia"
"Aesculus sp.","Aesculus sp.","Aesculus sp."
"Aesculus ×marylandica J.R. Booth ex G. Kirchn.","Aesculus × marylandica J.R.Booth ex Dippel","Aesculus × marylandica"
"Agalinis aspera (Douglas ex Benth.) Britton","Agalinis aspera (Douglas ex Benth.) Britton","Agalinis aspera"
"Agalinis densiflora (Benth.) S.F. Blake","Agalinis densiflora (Benth.) S.F.Blake","Agalinis densiflora"
"Agalinis fasciculata (Elliott) Raf.","Agalinis fasciculata (Elliott) Raf.","Agalinis fasciculata"
"Agalinis gattingeri (Small) Small","Agalinis gattingeri (Small) Small ex Britton & A.Br.","Agalinis gattingeri"
"Agalinis heterophylla (Nutt.) Small ex Britton","Agalinis heterophylla (Nutt.) Small ex Britton","Agalinis heterophylla"
"Agalinis homalantha Pennell","Agalinis homalantha Pennell","Agalinis homalantha"
"Agalinis purpurea (L.) Pennell","Agalinis purpurea (L.) Pennell","Agalinis purpurea"
"Agalinis setacea (J.F. Gmel.) Raf.","Agalinis setacea (J.F.Gmel.) Raf.","Agalinis setacea"
"Agalinis sp.","Agalinis sp.","Agalinis sp."
"Agalinis spp.","Agalinis spp.","Agalinis sp."
"Agalinis tenuifolia (Vahl) Raf.","Agalinis tenuifolia (Vahl) Raf.","Agalinis tenuifolia"
"Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake","Agalinis tenuifolia (Vahl) Raf.","Agalinis tenuifolia"
"Agarista sp.","Agarista sp.","Agarista sp."
"Agastache nepetoides (L.) Kuntze","Agastache nepetoides (L.) Kuntze","Agastache nepetoides"
"Manfreda virginica (L.) Salisb. ex Rose","Agave virginica L.","Agave virginica"
"Ageratina altissima (L.) R.M. King & H. Rob. var. altissima","Ageratina altissima var. altissima","Ageratina altissima"
"Ageratina altissima (L.) R.M. King & H. Rob.","Ageratina altissima (L.) R.M.King & H.Rob.","Ageratina altissima"
"Ageratina aromatica (L.) Spach","Ageratina aromatica (L.) Spach","Ageratina aromatica"
"Ageratina aromatica (L.) Spach var. incisa (A. Gray) C.F. Reed","Ageratina aromatica var. incisa (A.Gray) C.F.Reed","Ageratina aromatica"
"Ageratina jucunda (Greene) Clewell & Woot.","Ageratina jucunda (Greene) Clewell & Wooten","Ageratina jucunda"
"Ageratina occidentalis (Hook.) R.M. King & H. Rob.","Ageratina occidentalis (Hook.) R.M.King & H.Rob.","Ageratina occidentalis"
"Ageratina sp.","Ageratina sp.","Ageratina sp."
"Ageratum houstonianum Mill.","Ageratum houstonianum Mill.","Ageratum houstonianum"
"Agoseris aurantiaca (Hook.) Greene","Agoseris aurantiaca (Hook.) Greene","Agoseris aurantiaca"
"Agoseris glauca (Pursh) Raf.","Agoseris glauca (Pursh) Raf.","Agoseris glauca"
"Agoseris glauca (Pursh) Raf. var. dasycephala (Torr. & A. Gray) Jeps.","Agoseris glauca var. dasycephala (Torr. & A.Gray) Jeps.","Agoseris glauca"
"Agoseris grandiflora (Nutt.) Greene","Agoseris grandiflora (Nutt.) Greene","Agoseris grandiflora"
"Agoseris heterophylla (Nutt.) Greene","Agoseris heterophylla (Nutt.) Greene","Agoseris heterophylla"
"Agoseris heterophylla (Nutt.) Greene var. heterophylla","Agoseris heterophylla var. heterophylla","Agoseris heterophylla"
"Agoseris retrorsa (Benth.) Greene","Agoseris retrorsa Greene","Agoseris retrorsa"
"Agoseris sp.","Agoseris sp.","Agoseris sp."
"Agoseris spp.","Agoseris spp.","Agoseris sp."
"Agrimonia gryposepala Wallr.","Agrimonia gryposepala Wallr.","Agrimonia gryposepala"
"Agrimonia incisa Torr. & A. Gray","Agrimonia incisa Torr. & A.Gray","Agrimonia incisa"
"Agrimonia microcarpa Wallr.","Agrimonia microcarpa Wallr.","Agrimonia microcarpa"
"Agrimonia parviflora Aiton","Agrimonia parviflora Aiton","Agrimonia parviflora"
"Agrimonia pubescens Wallr.","Agrimonia pubescens Wallr.","Agrimonia pubescens"
"Agrimonia rostellata Wallr.","Agrimonia rostellata Wallr.","Agrimonia rostellata"
"Agrimonia sp.","Agrimonia sp.","Agrimonia sp."
"Agrimonia striata Michx.","Agrimonia striata Michx.","Agrimonia striata"
"Agropyron cristatum (L.) Gaertn.","Agropyron cristatum (L.) Gaertn.","Agropyron cristatum"
"Agropyron sp.","Agropyron sp.","Agropyron sp."
"Agropyron spp.","Agropyron spp.","Agropyron sp."
"Agrostis capillaris L.","Agrostis capillaris L.","Agrostis capillaris"
"Agrostis elliottiana Schult.","Agrostis elliottiana Schult.","Agrostis elliottiana"
"Agrostis exarata Trin.","Agrostis exarata Trin.","Agrostis exarata"
"Agrostis gigantea Roth","Agrostis gigantea Roth","Agrostis gigantea"
"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.","Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.","Agrostis hyemalis"
"Agrostis mertensii Trin.","Agrostis mertensii Trin.","Agrostis mertensii"
"Agrostis perennans (Walter) Tuck.","Agrostis perennans (Walter) Tuck.","Agrostis perennans"
"Agrostis scabra Willd.","Agrostis scabra Willd.","Agrostis scabra"
"Agrostis sp.","Agrostis sp.","Agrostis sp."
"Agrostis spp.","Agrostis spp.","Agrostis sp."
"Agrostis stolonifera L.","Agrostis stolonifera L.","Agrostis stolonifera"
"Ailanthus altissima (Mill.) Swingle","Ailanthus altissima (Mill.) Swingle","Ailanthus altissima"
"Aira caryophyllea L.","Aira caryophyllea L.","Aira caryophyllea"
"Aira caryophyllea L. var. caryophyllea","Aira caryophyllea L. var. caryophyllea","Aira caryophyllea"
"Aira sp.","Aira sp.","Aira sp."
"Albizia julibrissin Durazz.","Albizia julibrissin Durazz.","Albizia julibrissin"
"Albizia lebbeck (L.) Benth.","Albizia lebbeck (L.) Benth.","Albizia lebbeck"
"Albizia procera (Roxb.) Benth.","Albizia procera (Roxb.) Benth.","Albizia procera"
"Albizia sp.","Albizia sp.","Albizia sp."
"Albizia spp.","Albizia spp.","Albizia sp."
"Aphanes arvensis L.","Alchemilla arvensis (L.) Scop.","Alchemilla arvensis"
"Aletris farinosa L.","Aletris farinosa L.","Aletris farinosa"
"Aletris lutea Small","Aletris lutea Small","Aletris lutea"
"Aletris obovata Nash","Aletris obovata Nash","Aletris obovata"
"Aletris sp.","Aletris sp.","Aletris sp."
"Aliciella hutchinsifolia (Rydb.) J.M. Porter","Aliciella hutchinsifolia (Rydb.) J.M.Porter","Aliciella hutchinsifolia"
"Aliciella pinnatifida (Nutt. ex A. Gray) J.M. Porter","Aliciella pinnatifida (Nutt. ex A.Gray) J.M.Porter","Aliciella pinnatifida"
"Alisma gramineum Lej.","Alisma gramineum Lej.","Alisma gramineum"
"Alisma sp.","Alisma sp.","Alisma sp."
"Alisma subcordatum Raf.","Alisma subcordatum Raf.","Alisma subcordatum"
"Alisma triviale Pursh","Alisma triviale Pursh","Alisma triviale"
"Alliaria petiolata (M. Bieb.) Cavara & Grande","Alliaria petiolata (M.Bieb.) Cavara & Grande","Alliaria petiolata"
"Alliaria sp.","Alliaria sp.","Alliaria sp."
"Allionia choisyi Standl.","Allionia choisyi Standl.","Allionia choisyi"
"Allionia incarnata L.","Allionia incarnata L.","Allionia incarnata"
"Allionia incarnata L. var. incarnata","Allionia incarnata var. incarnata","Allionia incarnata"
"Allionia sp.","Allionia sp.","Allionia sp."
"Allionia spp.","Allionia spp.","Allionia sp."
"Allium abramsii (Ownbey & Aase) McNeal","Allium abramsii (Ownbey & Aase ex Traub) McNeal","Allium abramsii"
"Allium acuminatum Hook.","Allium acuminatum Hook.","Allium acuminatum"
"Allium brevistylum S. Watson","Allium brevistylum S.Watson","Allium brevistylum"
"Allium campanulatum S. Watson","Allium campanulatum S.Watson","Allium campanulatum"
"Allium canadense L.","Allium canadense L.","Allium canadense"
"Allium canadense L. var. canadense","Allium canadense var. canadense","Allium canadense"
"Allium cernuum Roth","Allium cernuum Roth","Allium cernuum"
"Allium drummondii Regel","Allium drummondii Regel","Allium drummondii"
"Allium canadense L. var. fraseri Ownbey","Allium fraseri (Ownbey) Shinners","Allium fraseri"
"Allium geyeri S. Watson","Allium geyeri S.Watson","Allium geyeri"
"Allium hyalinum Curran","Allium hyalinum Curran","Allium hyalinum"
"Allium nevadense S. Watson","Allium nevadense S.Watson","Allium nevadense"
"Allium obtusum Lemmon","Allium obtusum Lemmon","Allium obtusum"
"Allium sativum L.","Allium sativum L.","Allium sativum"
"Allium sp.","Allium sp.","Allium sp."
"Allium spp.","Allium spp.","Allium sp."
"Allium stellatum Fraser ex Ker Gawl.","Allium stellatum Nutt. ex Ker Gawl.","Allium stellatum"
"Allium textile A. Nelson & J.F. Macbr.","Allium textile A.Nelson & J.F.Macbr.","Allium textile"
"Allium tricoccum Aiton","Allium tricoccum Aiton","Allium tricoccum"
"Allium vineale L.","Allium vineale L.","Allium vineale"
"Allophyllum gilioides (Benth.) A.D. Grant & V.E. Grant ssp. violaceum (A. Heller) Day","Allophyllum gilioides subsp. violaceum (A.Heller) A.G.Day","Allophyllum gilioides"
"Allophyllum integrifolium (Brand) A.D. Grant & V.E. Grant","Allophyllum integrifolium (Brand) A.D.Grant & V.E.Grant","Allophyllum integrifolium"
"Allophyllum sp.","Allophyllum sp.","Allophyllum sp."
"Allotropa virgata Torr. & A. Gray ex A. Gray","Allotropa virgata Torr. & A.Gray","Allotropa virgata"
"Alnus viridis (Chaix) DC.","Alnus alnobetula subsp. alnobetula","Alnus alnobetula"
"Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve","Alnus alnobetula subsp. sinuata (Regel) Raus","Alnus alnobetula"
"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","Alnus incana subsp. rugosa (Du Roi) R.T.Clausen","Alnus incana"
"Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung","Alnus incana subsp. tenuifolia (Nutt.) Breitung","Alnus incana"
"Alnus incana (L.) Moench","Alnus incana (L.) Moench","Alnus incana"
"Alnus rubra Bong.","Alnus rubra Bong.","Alnus rubra"
"Alnus serrulata (Aiton) Willd.","Alnus serrulata (Aiton) Willd.","Alnus serrulata"
"Alnus sp.","Alnus sp.","Alnus sp."
"Alopecurus aequalis Sobol.","Alopecurus aequalis Sobol.","Alopecurus aequalis"
"Alopecurus arundinaceus Poir.","Alopecurus arundinaceus Poir.","Alopecurus arundinaceus"
"Alopecurus carolinianus Walter","Alopecurus carolinianus Walter","Alopecurus carolinianus"
"Alopecurus magellanicus Lam.","Alopecurus magellanicus Lam.","Alopecurus magellanicus"
"Alopecurus myosuroides Huds.","Alopecurus myosuroides Huds.","Alopecurus myosuroides"
"Alopecurus pratensis L.","Alopecurus pratensis L.","Alopecurus pratensis"
"Alopecurus sp.","Alopecurus sp.","Alopecurus sp."
"Aloysia gratissima (Gillies & Hook.) Troncoso","Aloysia gratissima (Gillies & Hook.) Tronc.","Aloysia gratissima"
"Alternanthera caracasana Kunth","Alternanthera caracasana Kunth","Alternanthera caracasana"
"Alternanthera crucis (Moq.) Boldingh","Alternanthera halimifolia (Lam.) Standl. ex Pittier","Alternanthera halimifolia"
"Alternanthera philoxeroides (Mart.) Griseb.","Alternanthera philoxeroides (Mart.) Griseb.","Alternanthera philoxeroides"
"Alternanthera pungens Kunth","Alternanthera pungens Kunth","Alternanthera pungens"
"Alternanthera sessilis (L.) R. Br. ex DC.","Alternanthera sessilis (L.) DC.","Alternanthera sessilis"
"Alternanthera sp.","Alternanthera sp.","Alternanthera sp."
"Alysicarpus vaginalis (L.) DC.","Alysicarpus vaginalis (L.) DC.","Alysicarpus vaginalis"
"Alyssum alyssoides (L.) L.","Alyssum alyssoides (L.) L.","Alyssum alyssoides"
"Alyssum desertorum Stapf","Alyssum desertorum Stapf","Alyssum desertorum"
"Alyssum spp.","Alyssum spp.","Alyssum sp."
"Alyssum sp.","Alyssum sp.","Alyssum sp."
"Alyxia stellata (J.R. Forst. & G. Forst.) Roem. & Schult.","Alyxia stellata (J.R.Forst. & G.Forst.) Roem. & Schult.","Alyxia stellata"
"Amaranthus acanthochiton Sauer","Amaranthus acanthochiton J.D.Sauer","Amaranthus acanthochiton"
"Amaranthus albus L.","Amaranthus albus L.","Amaranthus albus"
"Amaranthus arenicola I.M. Johnst.","Amaranthus arenicola I.M.Johnst.","Amaranthus arenicola"
"Amaranthus blitoides S. Watson","Amaranthus blitoides S.Watson","Amaranthus blitoides"
"Amaranthus crassipes Schltdl.","Amaranthus crassipes Schltdl.","Amaranthus crassipes"
"Amaranthus fimbriatus (Torr.) Benth. ex S. Watson","Amaranthus fimbriatus (Torr.) Benth.","Amaranthus fimbriatus"
"Amaranthus greggii S. Watson","Amaranthus greggii S.Watson","Amaranthus greggii"
"Amaranthus hybridus L.","Amaranthus hybridus L.","Amaranthus hybridus"
"Amaranthus palmeri S. Watson","Amaranthus palmeri S.Watson","Amaranthus palmeri"
"Amaranthus polygonoides L.","Amaranthus polygonoides L.","Amaranthus polygonoides"
"Amaranthus powellii S. Watson","Amaranthus powellii S.Watson","Amaranthus powellii"
"Amaranthus retroflexus L.","Amaranthus retroflexus L.","Amaranthus retroflexus"
"Amaranthus sp.","Amaranthus sp.","Amaranthus sp."
"Amaranthus spp.","Amaranthus spp.","Amaranthus sp."
"Amaranthus spinosus L.","Amaranthus spinosus L.","Amaranthus spinosus"
"Amaranthus dubius Mart. ex Thell.","Amaranthus tortuosus Hornem.","Amaranthus tortuosus"
"Amaranthus tuberculatus (Moq.) Sauer","Amaranthus tuberculatus (Moq.) J.D.Sauer","Amaranthus tuberculatus"
"Amaranthus wrightii S. Watson","Amaranthus wrightii S.Watson","Amaranthus wrightii"
"Amaryllis sp.","Amaryllis sp.","Amaryllis sp."
"Ambrosia acanthicarpa Hook.","Ambrosia acanthicarpa Hook.","Ambrosia acanthicarpa"
"Ambrosia artemisiifolia L.","Ambrosia artemisiifolia L.","Ambrosia artemisiifolia"
"Ambrosia artemisiifolia L. var. paniculata (Michx.) Blank.","Ambrosia artemisiifolia L.","Ambrosia artemisiifolia"
"Ambrosia confertiflora DC.","Ambrosia confertiflora DC.","Ambrosia confertiflora"
"Ambrosia grayi (A. Nelson) Shinners","Ambrosia grayi (A.Nelson) Shinners","Ambrosia grayi"
"Ambrosia psilostachya DC.","Ambrosia psilostachya DC.","Ambrosia psilostachya"
"Ambrosia sp.","Ambrosia sp.","Ambrosia sp."
"Ambrosia spp.","Ambrosia spp.","Ambrosia sp."
"Ambrosia tomentosa Nutt.","Ambrosia tomentosa Nutt.","Ambrosia tomentosa"
"Ambrosia trifida L.","Ambrosia trifida L.","Ambrosia trifida"
"Ambrosia ×intergradiens W.H. Wagner","Ambrosia × intergradiens W.H.Wagner","Ambrosia × intergradiens"
"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.","Amelanchier alnifolia (Nutt.) Nutt. ex M.Roem.","Amelanchier alnifolia"
"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. alnifolia","Amelanchier alnifolia var. alnifolia","Amelanchier alnifolia"
"Amelanchier arborea (Michx. f.) Fernald","Amelanchier arborea (F.Michx.) Fernald","Amelanchier arborea"
"Amelanchier bartramiana (Tausch) M. Roem.","Amelanchier bartramiana (Tausch) M.Roem.","Amelanchier bartramiana"
"Amelanchier canadensis (L.) Medik.","Amelanchier canadensis (L.) Medik.","Amelanchier canadensis"
"Amelanchier interior E.L. Nielsen","Amelanchier interior E.L.Nielsen","Amelanchier interior"
"Amelanchier laevis Wiegand","Amelanchier laevis Wiegand","Amelanchier laevis"
"Amelanchier sanguinea (Pursh) DC.","Amelanchier sanguinea (Pursh) DC.","Amelanchier sanguinea"
"Amelanchier sp.","Amelanchier sp.","Amelanchier sp."
"Amelanchier spp.","Amelanchier spp.","Amelanchier sp."
"Amelanchier stolonifera Wiegand","Amelanchier stolonifera Wiegand","Amelanchier stolonifera"
"Amelanchier utahensis Koehne var. utahensis","Amelanchier utahensis Koehne var. utahensis","Amelanchier utahensis"
"Amianthium muscitoxicum (Walter) A. Gray","Amianthium muscitoxicum (Walter) A.Gray","Amianthium muscitoxicum"
"Ammannia coccinea Rottb.","Ammannia coccinea Rottb.","Ammannia coccinea"
"Ammi majus L.","Ammi majus L.","Ammi majus"
"Ammoselinum popei Torr. & A. Gray","Ammoselinum popei Torr. & A.Gray","Ammoselinum popei"
"Amorpha canescens Pursh","Amorpha canescens Pursh","Amorpha canescens"
"Amorpha fruticosa L.","Amorpha fruticosa L.","Amorpha fruticosa"
"Amorpha nana Nutt.","Amorpha nana Nutt.","Amorpha nana"
"Amorpha sp.","Amorpha sp.","Amorpha sp."
"Amorpha spp.","Amorpha spp.","Amorpha sp."
"Ampelopsis cordata Michx.","Ampelopsis cordata Michx.","Ampelopsis cordata"
"Amphiachyris dracunculoides (DC.) Nutt.","Amphiachyris dracunculoides (DC.) Nutt.","Amphiachyris dracunculoides"
"Amphicarpaea bracteata (L.) Fernald","Amphicarpaea bracteata (L.) Fernald","Amphicarpaea bracteata"
